Classifier,Test Object Images,Ground Truth,Selected by Classifier,True Positive,True Negative,False Positive,False Negative,Accuracy,Precision,Recall,F1-Score
cylinder,potato/potato_4 (brown potato ellipsoid)      cylinder/cylinder_1 (yellow cylinder block)      banana/banana_1 (yellow banana arch)      cylinder/cylinder_1 (yellow cylinder block)      tomato/tomato_3 (red tomato ellipsoid)      ,cylinder/cylinder_1 (yellow cylinder block) cylinder/cylinder_1 (yellow cylinder block) ,,0.0,3.0,0.0,2.0,0.6,0.0,0.0,0.0
cylinder,cylinder/cylinder_1 (yellow cylinder block)      potato/potato_4 (brown potato ellipsoid)      tomato/tomato_3 (red tomato ellipsoid)      lime/lime_4 (green lime ellipsoid)      banana/banana_1 (yellow banana arch)      ,cylinder/cylinder_1 (yellow cylinder block) ,,0.0,4.0,0.0,1.0,0.8,0.0,0.0,0.0
cylinder,potato/potato_4 (brown potato ellipsoid)      cylinder/cylinder_1 (yellow cylinder block)      banana/banana_1 (yellow banana arch)      tomato/tomato_3 (red tomato ellipsoid)      cylinder/cylinder_1 (yellow cylinder block)      cylinder/cylinder_1 (yellow cylinder block)      ,cylinder/cylinder_1 (yellow cylinder block) cylinder/cylinder_1 (yellow cylinder block) cylinder/cylinder_1 (yellow cylinder block) ,,0.0,3.0,0.0,3.0,0.5,0.0,0.0,0.0
cylinder,cylinder/cylinder_1 (yellow cylinder block)      banana/banana_1 (yellow banana arch)      cylinder/cylinder_1 (yellow cylinder block)      tomato/tomato_3 (red tomato ellipsoid)      potato/potato_4 (brown potato ellipsoid)      ,cylinder/cylinder_1 (yellow cylinder block) cylinder/cylinder_1 (yellow cylinder block) ,,0.0,3.0,0.0,2.0,0.6,0.0,0.0,0.0
 ,,,,,,,,,,,
cube,potato/potato_4 (brown potato ellipsoid)      cube/cube_1 (yellow cube block)      banana/banana_1 (yellow banana arch)      cucumber/cucumber_1 (green cucumber ovoid)      tomato/tomato_3 (red tomato ellipsoid)      lime/lime_4 (green lime ellipsoid)      ,cube/cube_1 (yellow cube block) ,cube/cube_1 (yellow cube block) ,1.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0
cube,potato/potato_4 (brown potato ellipsoid)      banana/banana_1 (yellow banana arch)      cube/cube_1 (yellow cube block)      tomato/tomato_3 (red tomato ellipsoid)      ,cube/cube_1 (yellow cube block) cube/cube_1 (yellow cube block) ,cube/cube_1 (yellow cube block) ,1.0,2.0,0.0,1.0,0.75,1.0,0.5,0.666666666667
cube,banana/banana_1 (yellow banana arch)      cube/cube_1 (yellow cube block)      cube/cube_1 (yellow cube block)      potato/potato_4 (brown potato ellipsoid)      ,cube/cube_1 (yellow cube block) cube/cube_1 (yellow cube block) cube/cube_1 (yellow cube block) ,cube/cube_1 (yellow cube block) cube/cube_1 (yellow cube block) banana/banana_1 (yellow banana arch) ,2.0,0.0,1.0,1.0,0.5,0.666666666667,0.666666666667,0.666666666667
cube,potato/potato_4 (brown potato ellipsoid)      tomato/tomato_3 (red tomato ellipsoid)      banana/banana_1 (yellow banana arch)      cube/cube_1 (yellow cube block)      ,cube/cube_1 (yellow cube block) cube/cube_1 (yellow cube block) ,cube/cube_1 (yellow cube block) ,1.0,2.0,0.0,1.0,0.75,1.0,0.5,0.666666666667
cube,potato/potato_4 (brown potato ellipsoid)      banana/banana_1 (yellow banana arch)      cube/cube_1 (yellow cube block)      cube/cube_1 (yellow cube block)      ,cube/cube_1 (yellow cube block) cube/cube_1 (yellow cube block) ,cube/cube_1 (yellow cube block) cube/cube_1 (yellow cube block) ,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0
cube,potato/potato_4 (brown potato ellipsoid)      cube/cube_1 (yellow cube block)      tomato/tomato_3 (red tomato ellipsoid)      banana/banana_1 (yellow banana arch)      ,cube/cube_1 (yellow cube block) ,cube/cube_1 (yellow cube block) ,1.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0
cube,potato/potato_4 (brown potato ellipsoid)      cube/cube_1 (yellow cube block)      cube/cube_1 (yellow cube block)      banana/banana_1 (yellow banana arch)      ,cube/cube_1 (yellow cube block) cube/cube_1 (yellow cube block) ,cube/cube_1 (yellow cube block) cube/cube_1 (yellow cube block) banana/banana_1 (yellow banana arch) ,2.0,1.0,1.0,0.0,0.75,0.666666666667,1.0,0.8
cube,potato/potato_4 (brown potato ellipsoid)      banana/banana_1 (yellow banana arch)      cube/cube_1 (yellow cube block)      cube/cube_1 (yellow cube block)      ,cube/cube_1 (yellow cube block) cube/cube_1 (yellow cube block) cube/cube_1 (yellow cube block) ,cube/cube_1 (yellow cube block) cube/cube_1 (yellow cube block) ,2.0,1.0,0.0,1.0,0.75,1.0,0.666666666667,0.8
cube,potato/potato_4 (brown potato ellipsoid)      cube/cube_1 (yellow cube block)      banana/banana_1 (yellow banana arch)      ,cube/cube_1 (yellow cube block) cube/cube_1 (yellow cube block) ,cube/cube_1 (yellow cube block) ,1.0,1.0,0.0,1.0,0.666666666667,1.0,0.5,0.666666666667
cube,potato/potato_4 (brown potato ellipsoid)      banana/banana_1 (yellow banana arch)      cube/cube_1 (yellow cube block)      tomato/tomato_3 (red tomato ellipsoid)      lime/lime_4 (green lime ellipsoid)      ,cube/cube_1 (yellow cube block) ,cube/cube_1 (yellow cube block) ,1.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0
 ,,,,,,,,,,,
triangle,banana/banana_1 (yellow banana arch)      tomato/tomato_3 (red tomato ellipsoid)      triangle/triangle_3 (green triangle block)      potato/potato_4 (brown potato ellipsoid)      ,triangle/triangle_3 (green triangle block) ,triangle/triangle_3 (green triangle block) ,1.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0
triangle,triangle/triangle_3 (green triangle block)      triangle/triangle_3 (green triangle block)      potato/potato_4 (brown potato ellipsoid)      banana/banana_1 (yellow banana arch)      ,triangle/triangle_3 (green triangle block) triangle/triangle_3 (green triangle block) ,triangle/triangle_3 (green triangle block) triangle/triangle_3 (green triangle block) ,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0
triangle,potato/potato_4 (brown potato ellipsoid)      banana/banana_1 (yellow banana arch)      triangle/triangle_3 (green triangle block)      triangle/triangle_3 (green triangle block)      ,triangle/triangle_3 (green triangle block) triangle/triangle_3 (green triangle block) triangle/triangle_3 (green triangle block) ,triangle/triangle_3 (green triangle block) triangle/triangle_3 (green triangle block) ,2.0,1.0,0.0,1.0,0.75,1.0,0.666666666667,0.8
triangle,triangle/triangle_3 (green triangle block)      potato/potato_4 (brown potato ellipsoid)      banana/banana_1 (yellow banana arch)      ,triangle/triangle_3 (green triangle block) triangle/triangle_3 (green triangle block) ,triangle/triangle_3 (green triangle block) ,1.0,1.0,0.0,1.0,0.666666666667,1.0,0.5,0.666666666667
triangle,potato/potato_4 (brown potato ellipsoid)      triangle/triangle_3 (green triangle block)      triangle/triangle_3 (green triangle block)      banana/banana_1 (yellow banana arch)      tomato/tomato_3 (red tomato ellipsoid)      ,triangle/triangle_3 (green triangle block) triangle/triangle_3 (green triangle block) triangle/triangle_3 (green triangle block) ,triangle/triangle_3 (green triangle block) triangle/triangle_3 (green triangle block) ,2.0,2.0,0.0,1.0,0.8,1.0,0.666666666667,0.8
triangle,potato/potato_4 (brown potato ellipsoid)      banana/banana_1 (yellow banana arch)      tomato/tomato_3 (red tomato ellipsoid)      triangle/triangle_3 (green triangle block)      ,triangle/triangle_3 (green triangle block) ,triangle/triangle_3 (green triangle block) ,1.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0
triangle,triangle/triangle_3 (green triangle block)      triangle/triangle_3 (green triangle block)      potato/potato_4 (brown potato ellipsoid)      ,triangle/triangle_3 (green triangle block) triangle/triangle_3 (green triangle block) triangle/triangle_3 (green triangle block) ,triangle/triangle_3 (green triangle block) triangle/triangle_3 (green triangle block) ,2.0,0.0,0.0,1.0,0.666666666667,1.0,0.666666666667,0.8
triangle,potato/potato_4 (brown potato ellipsoid)      triangle/triangle_3 (green triangle block)      tomato/tomato_3 (red tomato ellipsoid)      banana/banana_1 (yellow banana arch)      triangle/triangle_3 (green triangle block)      ,triangle/triangle_3 (green triangle block) triangle/triangle_3 (green triangle block) triangle/triangle_3 (green triangle block) ,triangle/triangle_3 (green triangle block) triangle/triangle_3 (green triangle block) ,2.0,2.0,0.0,1.0,0.8,1.0,0.666666666667,0.8
triangle,potato/potato_4 (brown potato ellipsoid)      tomato/tomato_3 (red tomato ellipsoid)      banana/banana_1 (yellow banana arch)      triangle/triangle_3 (green triangle block)      ,triangle/triangle_3 (green triangle block) ,triangle/triangle_3 (green triangle block) ,1.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0
triangle,triangle/triangle_3 (green triangle block)      potato/potato_4 (brown potato ellipsoid)      banana/banana_1 (yellow banana arch)      triangle/triangle_3 (green triangle block)      ,triangle/triangle_3 (green triangle block) triangle/triangle_3 (green triangle block) triangle/triangle_3 (green triangle block) ,triangle/triangle_3 (green triangle block) triangle/triangle_3 (green triangle block) ,2.0,1.0,0.0,1.0,0.75,1.0,0.666666666667,0.8
 ,,,,,,,,,,,
triangular,triangle/triangle_3 (green triangle block)      triangle/triangle_3 (green triangle block)      potato/potato_4 (brown potato ellipsoid)      banana/banana_1 (yellow banana arch)      triangle/triangle_3 (green triangle block)      ,triangle/triangle_3 (green triangle block) triangle/triangle_3 (green triangle block) triangle/triangle_3 (green triangle block) ,triangle/triangle_3 (green triangle block) triangle/triangle_3 (green triangle block) triangle/triangle_3 (green triangle block) ,3.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0
triangular,cucumber/cucumber_1 (green cucumber ovoid)      banana/banana_1 (yellow banana arch)      triangle/triangle_3 (green triangle block)      tomato/tomato_3 (red tomato ellipsoid)      potato/potato_4 (brown potato ellipsoid)      ,triangle/triangle_3 (green triangle block) ,triangle/triangle_3 (green triangle block) ,1.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0
triangular,triangle/triangle_3 (green triangle block)      potato/potato_4 (brown potato ellipsoid)      triangle/triangle_3 (green triangle block)      banana/banana_1 (yellow banana arch)      ,triangle/triangle_3 (green triangle block) triangle/triangle_3 (green triangle block) ,triangle/triangle_3 (green triangle block) triangle/triangle_3 (green triangle block) ,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0
triangular,tomato/tomato_3 (red tomato ellipsoid)      banana/banana_1 (yellow banana arch)      triangle/triangle_3 (green triangle block)      cucumber/cucumber_1 (green cucumber ovoid)      potato/potato_4 (brown potato ellipsoid)      ,triangle/triangle_3 (green triangle block) triangle/triangle_3 (green triangle block) ,triangle/triangle_3 (green triangle block) ,1.0,3.0,0.0,1.0,0.8,1.0,0.5,0.666666666667
triangular,potato/potato_4 (brown potato ellipsoid)      banana/banana_1 (yellow banana arch)      triangle/triangle_3 (green triangle block)      ,triangle/triangle_3 (green triangle block) triangle/triangle_3 (green triangle block) triangle/triangle_3 (green triangle block) ,triangle/triangle_3 (green triangle block) ,1.0,0.0,0.0,2.0,0.333333333333,1.0,0.333333333333,0.5
triangular,potato/potato_4 (brown potato ellipsoid)      triangle/triangle_3 (green triangle block)      tomato/tomato_3 (red tomato ellipsoid)      cucumber/cucumber_1 (green cucumber ovoid)      banana/banana_1 (yellow banana arch)      ,triangle/triangle_3 (green triangle block) ,triangle/triangle_3 (green triangle block) ,1.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0
triangular,potato/potato_4 (brown potato ellipsoid)      triangle/triangle_3 (green triangle block)      cucumber/cucumber_1 (green cucumber ovoid)      banana/banana_1 (yellow banana arch)      tomato/tomato_3 (red tomato ellipsoid)      ,triangle/triangle_3 (green triangle block) ,triangle/triangle_3 (green triangle block) ,1.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0
triangular,triangle/triangle_3 (green triangle block)      triangle/triangle_3 (green triangle block)      potato/potato_4 (brown potato ellipsoid)      triangle/triangle_3 (green triangle block)      ,triangle/triangle_3 (green triangle block) triangle/triangle_3 (green triangle block) triangle/triangle_3 (green triangle block) ,triangle/triangle_3 (green triangle block) triangle/triangle_3 (green triangle block) triangle/triangle_3 (green triangle block) ,3.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
triangular,triangle/triangle_3 (green triangle block)      potato/potato_4 (brown potato ellipsoid)      triangle/triangle_3 (green triangle block)      triangle/triangle_3 (green triangle block)      ,triangle/triangle_3 (green triangle block) triangle/triangle_3 (green triangle block) triangle/triangle_3 (green triangle block) ,triangle/triangle_3 (green triangle block) triangle/triangle_3 (green triangle block) triangle/triangle_3 (green triangle block) ,3.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
triangular,triangle/triangle_3 (green triangle block)      banana/banana_1 (yellow banana arch)      triangle/triangle_3 (green triangle block)      potato/potato_4 (brown potato ellipsoid)      ,triangle/triangle_3 (green triangle block) triangle/triangle_3 (green triangle block) ,triangle/triangle_3 (green triangle block) triangle/triangle_3 (green triangle block) ,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0
 ,,,,,,,,,,,
rectangular,cuboid/cuboid_1 (yellow cuboid block)      potato/potato_4 (brown potato ellipsoid)      banana/banana_1 (yellow banana arch)      tomato/tomato_3 (red tomato ellipsoid)      cuboid/cuboid_1 (yellow cuboid block)      cuboid/cuboid_1 (yellow cuboid block)      ,cuboid/cuboid_1 (yellow cuboid block) cuboid/cuboid_1 (yellow cuboid block) cuboid/cuboid_1 (yellow cuboid block) ,cuboid/cuboid_1 (yellow cuboid block) cuboid/cuboid_1 (yellow cuboid block) ,2.0,3.0,0.0,1.0,0.833333333333,1.0,0.666666666667,0.8
rectangular,banana/banana_1 (yellow banana arch)      potato/potato_4 (brown potato ellipsoid)      cuboid/cuboid_1 (yellow cuboid block)      cuboid/cuboid_1 (yellow cuboid block)      ,cuboid/cuboid_1 (yellow cuboid block) cuboid/cuboid_1 (yellow cuboid block) ,cuboid/cuboid_1 (yellow cuboid block) cuboid/cuboid_1 (yellow cuboid block) banana/banana_1 (yellow banana arch) ,2.0,1.0,1.0,0.0,0.75,0.666666666667,1.0,0.8
rectangular,tomato/tomato_3 (red tomato ellipsoid)      cucumber/cucumber_1 (green cucumber ovoid)      potato/potato_4 (brown potato ellipsoid)      cuboid/cuboid_1 (yellow cuboid block)      banana/banana_1 (yellow banana arch)      lime/lime_4 (green lime ellipsoid)      ,cuboid/cuboid_1 (yellow cuboid block) ,cuboid/cuboid_1 (yellow cuboid block) ,1.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0
rectangular,lime/lime_4 (green lime ellipsoid)      banana/banana_1 (yellow banana arch)      cuboid/cuboid_1 (yellow cuboid block)      potato/potato_4 (brown potato ellipsoid)      tomato/tomato_3 (red tomato ellipsoid)      ,cuboid/cuboid_1 (yellow cuboid block) ,banana/banana_1 (yellow banana arch) cuboid/cuboid_1 (yellow cuboid block) ,1.0,3.0,1.0,0.0,0.8,0.5,1.0,0.666666666667
rectangular,potato/potato_4 (brown potato ellipsoid)      banana/banana_1 (yellow banana arch)      cuboid/cuboid_1 (yellow cuboid block)      cuboid/cuboid_1 (yellow cuboid block)      ,cuboid/cuboid_1 (yellow cuboid block) cuboid/cuboid_1 (yellow cuboid block) ,cuboid/cuboid_1 (yellow cuboid block) cuboid/cuboid_1 (yellow cuboid block) ,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0
rectangular,tomato/tomato_3 (red tomato ellipsoid)      cuboid/cuboid_1 (yellow cuboid block)      banana/banana_1 (yellow banana arch)      potato/potato_4 (brown potato ellipsoid)      ,cuboid/cuboid_1 (yellow cuboid block) ,banana/banana_1 (yellow banana arch) ,0.0,2.0,1.0,1.0,0.5,0.0,0.0,0.0
rectangular,potato/potato_4 (brown potato ellipsoid)      cuboid/cuboid_1 (yellow cuboid block)      cuboid/cuboid_1 (yellow cuboid block)      cuboid/cuboid_1 (yellow cuboid block)      ,cuboid/cuboid_1 (yellow cuboid block) cuboid/cuboid_1 (yellow cuboid block) cuboid/cuboid_1 (yellow cuboid block) ,cuboid/cuboid_1 (yellow cuboid block) cuboid/cuboid_1 (yellow cuboid block) ,2.0,1.0,0.0,1.0,0.75,1.0,0.666666666667,0.8
rectangular,potato/potato_4 (brown potato ellipsoid)      tomato/tomato_3 (red tomato ellipsoid)      banana/banana_1 (yellow banana arch)      cuboid/cuboid_1 (yellow cuboid block)      lime/lime_4 (green lime ellipsoid)      cucumber/cucumber_1 (green cucumber ovoid)      ,cuboid/cuboid_1 (yellow cuboid block) ,cuboid/cuboid_1 (yellow cuboid block) banana/banana_1 (yellow banana arch) ,1.0,4.0,1.0,0.0,0.833333333333,0.5,1.0,0.666666666667
rectangular,cuboid/cuboid_1 (yellow cuboid block)      potato/potato_4 (brown potato ellipsoid)      banana/banana_1 (yellow banana arch)      tomato/tomato_3 (red tomato ellipsoid)      cuboid/cuboid_1 (yellow cuboid block)      cuboid/cuboid_1 (yellow cuboid block)      ,cuboid/cuboid_1 (yellow cuboid block) cuboid/cuboid_1 (yellow cuboid block) cuboid/cuboid_1 (yellow cuboid block) ,cuboid/cuboid_1 (yellow cuboid block) cuboid/cuboid_1 (yellow cuboid block) ,2.0,3.0,0.0,1.0,0.833333333333,1.0,0.666666666667,0.8
rectangular,lime/lime_4 (green lime ellipsoid)      potato/potato_4 (brown potato ellipsoid)      banana/banana_1 (yellow banana arch)      tomato/tomato_3 (red tomato ellipsoid)      cuboid/cuboid_1 (yellow cuboid block)      cuboid/cuboid_1 (yellow cuboid block)      ,cuboid/cuboid_1 (yellow cuboid block) cuboid/cuboid_1 (yellow cuboid block) ,banana/banana_1 (yellow banana arch) cuboid/cuboid_1 (yellow cuboid block) ,1.0,3.0,1.0,1.0,0.666666666667,0.5,0.5,0.5
 ,,,,,,,,,,,
square,cube/cube_1 (yellow cube block)      banana/banana_1 (yellow banana arch)      cube/cube_1 (yellow cube block)      tomato/tomato_3 (red tomato ellipsoid)      potato/potato_4 (brown potato ellipsoid)      ,cube/cube_1 (yellow cube block) cube/cube_1 (yellow cube block) ,cube/cube_1 (yellow cube block) cube/cube_1 (yellow cube block) ,2.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0
square,cube/cube_1 (yellow cube block)      potato/potato_4 (brown potato ellipsoid)      banana/banana_1 (yellow banana arch)      cucumber/cucumber_1 (green cucumber ovoid)      tomato/tomato_3 (red tomato ellipsoid)      lime/lime_4 (green lime ellipsoid)      ,cube/cube_1 (yellow cube block) ,cube/cube_1 (yellow cube block) ,1.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0
square,potato/potato_4 (brown potato ellipsoid)      cube/cube_1 (yellow cube block)      cube/cube_1 (yellow cube block)      banana/banana_1 (yellow banana arch)      ,cube/cube_1 (yellow cube block) cube/cube_1 (yellow cube block) cube/cube_1 (yellow cube block) ,cube/cube_1 (yellow cube block) cube/cube_1 (yellow cube block) ,2.0,1.0,0.0,1.0,0.75,1.0,0.666666666667,0.8
square,cube/cube_1 (yellow cube block)      potato/potato_4 (brown potato ellipsoid)      lime/lime_4 (green lime ellipsoid)      banana/banana_1 (yellow banana arch)      tomato/tomato_3 (red tomato ellipsoid)      cube/cube_1 (yellow cube block)      ,cube/cube_1 (yellow cube block) cube/cube_1 (yellow cube block) ,cube/cube_1 (yellow cube block) cube/cube_1 (yellow cube block) ,2.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0
square,cube/cube_1 (yellow cube block)      cube/cube_1 (yellow cube block)      cube/cube_1 (yellow cube block)      potato/potato_4 (brown potato ellipsoid)      ,cube/cube_1 (yellow cube block) cube/cube_1 (yellow cube block) cube/cube_1 (yellow cube block) ,cube/cube_1 (yellow cube block) cube/cube_1 (yellow cube block) cube/cube_1 (yellow cube block) ,3.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
square,potato/potato_4 (brown potato ellipsoid)      cube/cube_1 (yellow cube block)      banana/banana_1 (yellow banana arch)      cucumber/cucumber_1 (green cucumber ovoid)      tomato/tomato_3 (red tomato ellipsoid)      lime/lime_4 (green lime ellipsoid)      ,cube/cube_1 (yellow cube block) ,cube/cube_1 (yellow cube block) ,1.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0
square,potato/potato_4 (brown potato ellipsoid)      banana/banana_1 (yellow banana arch)      cube/cube_1 (yellow cube block)      cube/cube_1 (yellow cube block)      tomato/tomato_3 (red tomato ellipsoid)      ,cube/cube_1 (yellow cube block) cube/cube_1 (yellow cube block) ,cube/cube_1 (yellow cube block) cube/cube_1 (yellow cube block) ,2.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0
square,tomato/tomato_3 (red tomato ellipsoid)      potato/potato_4 (brown potato ellipsoid)      cube/cube_1 (yellow cube block)      banana/banana_1 (yellow banana arch)      ,cube/cube_1 (yellow cube block) ,cube/cube_1 (yellow cube block) ,1.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0
square,tomato/tomato_3 (red tomato ellipsoid)      banana/banana_1 (yellow banana arch)      cube/cube_1 (yellow cube block)      potato/potato_4 (brown potato ellipsoid)      ,cube/cube_1 (yellow cube block) cube/cube_1 (yellow cube block) ,cube/cube_1 (yellow cube block) ,1.0,2.0,0.0,1.0,0.75,1.0,0.5,0.666666666667
