Token,Type,cylinder,cube,triangle,ellipsoid,cuboid,arch,long-cone,ovoid,semicylinder
orange,shape,3.1704112886547332e-08,1.6566242378454492e-08,4.3723773187341907e-10,2.4586030128519614,1.4308359473793744e-34,0.0003669235745118307,0.81601962913241288,0.0004139698331916817,7.0494989856429935e-07
orange,shape,4.3044787764946479e-12,0.00021445188908761226,6.6649095542112624e-05,0.34719183631802641,9.0033089118240887e-05,8.3233932241264769e-05,0.21184001221682919,0.05627621456505174,1.7873486858684539e-05
white,shape,0.0,4.9517003920288428e-214,4.1489025953176471e-46,2.5813345938973109e-06,0.0,2.9606332573324414e-35,1.3734947456068709,0.010205253221758999,2.6835636214092866e-38
white,shape,3.6233780657393477e-19,4.1868662935868588e-05,1.3275837215473202e-05,0.00010631229793567188,0.00011428209162097429,0.00058404203744837145,0.44498786026489096,0.00061500189207082043,0.00047540352600679785
semicylinder,shape,0.7481665956278658,0.38053664578991941,0.113350273821093,2.5981676061540515,0.94747283727763176,0.95528694266169678,6.932104572237937e-05,0.11491927740126677,0.2043610583733253
semicylinder,shape,3.7855153417958737e-11,0.012206563902289125,0.00061458280163375148,0.00011086603665307846,0.00057223565407301031,0.19588833711055181,0.57242013675579706,0.19996613141156491,0.99620291801191596
banana,shape,1.6607760226150637e-21,3.4611316235923094e-273,9.8346076347134997e-69,3.1271832535793778e-06,0.0,0.50672573981158153,8.5661397413419353e-15,0.00083686966690006627,1.3698864940501101e-44
banana,shape,2.9732100541481983e-16,0.0035907914071414424,0.00017897707168180787,0.00010614236788516743,2.4448833509530412e-05,0.98792782981579264,0.21741424023180303,6.5032562784906049e-06,0.0076213432706451574
red,shape,1.4290454452854954e-86,0.99962213724289162,3.7930774317332574e-44,0.98505391162064004,2.1961858003203976e-14,1.0215667157073051e-19,7.291930668098381e-58,1.1369904973681182e-17,9.6786761895925148e-34
red,shape,0.59344859030376795,7.3536285135954612e-07,0.012002372730989253,2.3848479342908773,0.2379736609427836,0.58217232287384479,0.0001804150317248326,0.40403728170894804,0.22508596582750365
brown,shape,9.3404304083380995e-46,4.4208181892913653e-70,1.6309693547697214e-55,1.1457027465078125,7.8455997217800631e-142,1.0101080708161785e-13,0.38667164760646333,3.7376977203936057e-07,2.1417565193666774e-44
brown,shape,3.1734798504973093e-09,9.4860964304488416e-05,0.0003975793569601741,0.32836965113372657,3.2504321518260006e-05,0.00017452610386267032,0.0025302034720459969,0.14006607128607229,1.5015343399049986e-08
cube,shape,0.092641326919768063,4.4695199236084225e-55,0.70117836262309752,0.069154011213279062,0.1288305798400608,0.00061481715028319391,1.7188540739963697e-13,0.39410140211532557,0.222845843642029
cube,shape,4.9120216169703778e-21,0.99984827120107911,1.9916384780456856e-05,0.063549946771306223,0.0030716847943679498,9.4764989674806158e-07,0.00056264977848757478,0.0014140926918918338,4.0092052689803256e-09
triangle,shape,0.78140522333196394,0.69476132185319894,0.00058598316635983454,1.5542766483813022,0.95270024627263672,0.9387173072717413,0.0069215803427739933,0.045629325875775194,0.00058674048231377907
triangle,shape,0.5413152987543336,4.9443930496657875e-06,0.9601029061076447,0.0033970056823942811,2.830313084609341e-05,1.5571886298820849e-06,0.078113636901269629,0.028474227237726593,2.5681205609221883e-07
corn,shape,0.0,4.9517003920288428e-214,4.1489025953176471e-46,2.5813345938973109e-06,0.0,2.9606332573324414e-35,1.3734947456068709,0.010205253221758999,2.6835636214092866e-38
corn,shape,3.6233780657393477e-19,4.1868662935868588e-05,1.3275837215473202e-05,0.00010631229793567188,0.00011428209162097429,0.00058404203744837145,0.44498786026489096,0.00061500189207082043,0.00047540352600679785
cucumber,shape,3.4447945010969909e-91,0.0,3.7087682270305663e-18,3.8199167419774401e-12,4.3082171887654591e-217,1.2953393123658099e-11,4.8061207737452048e-28,0.99969457406929518,1.8306179386526602e-20
cucumber,shape,6.5341547443833668e-17,0.0004051509076417421,0.00011094227770021242,9.9092034080079707e-05,0.004506864078179745,0.00041005970359964491,0.49428066523630931,0.60220163694403517,1.8559656656115468e-09
cabbage,shape,0.0,8.7216146179690013e-145,1.683691797524675e-41,0.99880914883358995,1.3120366325913612e-38,1.6323724101633363e-30,3.7292487730972874e-29,0.085496846890372402,1.234352098830104e-40
cabbage,shape,4.135139726739687e-23,4.8283670110889397e-05,1.5952168181800239e-05,0.64613518960000826,3.2416924848172362e-07,5.7113324183147529e-07,0.00038994333961646827,1.5038270468336176e-05,5.922535217872048e-08
arch,shape,0.54745261006175971,0.15230775581615591,0.7488636794180894,1.5423279983417419,6.6926286808244569e-06,0.91010079217486639,0.43196620714102657,0.43500141173987955,0.93105157927235549
arch,shape,1.1057975391448825e-21,0.00029615296202923811,9.4407884791231051e-05,0.00014962969071592616,0.0015643844561245145,1.983814898375694,0.21930111926628129,1.1776181951860439e-05,0.001166579288859222
tomato,shape,0.0,0.0015680148099933701,8.5475156374344333e-127,0.98590551378983249,2.1754876146969945e-13,5.5196643964447858e-22,2.2403848705490144e-84,3.0241118246466502e-31,1.7077112949183444e-112
tomato,shape,1.57983286298432e-29,0.002317891122497198,1.1402295782289509e-06,2.009098730468482,1.8072811315899475e-06,7.3528604283261513e-07,3.827654445203019e-05,4.1566662086409022e-06,5.2170485076090844e-05
potato,shape,2.6276617279807209e-45,1.0598823680972982e-70,7.3642856618597635e-49,0.89345995375869813,3.7399220643377881e-123,5.6644852739116633e-14,0.30517034408258603,0.00065224299680739502,2.6572335268534577e-39
potato,shape,3.1734798504973093e-09,9.4860964304488416e-05,0.0003975793569601741,0.32836965113372657,3.2504321518260006e-05,0.00017452610386267032,0.0025302034720459969,0.14006607128607229,1.5015343399049986e-08
plum,shape,0.0,2.3529441971579931e-05,5.7857893610584994e-77,0.01030962514574673,2.663253420229734e-51,5.1647301113219695e-57,6.610777843964212e-61,3.3827480611678514e-09,8.9692573316259582e-77
plum,shape,2.4805564274337645e-17,0.091408054255013596,9.2471578902587193e-05,1.2235396481536636,0.00020198935634443133,0.001715428802110683,6.1483541746461805e-06,0.00032189244274055662,2.0047232950624258e-05
green,shape,6.6843945831995142e-25,2.2717021558756428e-08,1.0,1.0002364225037845,1.760104055246674e-110,1.4088338693661043e-09,7.4884088058603354e-22,1.0036164724638195,1.0
green,shape,3.9998347373607642e-15,0.022239039212914143,0.14542921022508631,0.70161375864045994,0.50661892841087719,0.13053212477323278,0.5583010634872243,0.57147141317178041,0.0023479410391675807
eggplant,shape,0.0,0.0,1.4824581210371084e-24,0.18185103762488855,9.3235748428100674e-303,1.1040395855612748e-177,0.058490447650464732,0.93503648427502906,1.4511419477347952e-71
eggplant,shape,8.2408294566900678e-21,0.00027987839095988931,8.4722074751615752e-05,9.1088903688725135e-05,2.1943441083072478e-05,1.9824848241249305e-08,9.3745080083128569e-05,0.8003550515710055,1.4213230789579463e-09
ovoid,shape,0.0,0.0,0.19999999999999996,0.25908088836700244,1.4691142688749239e-242,4.865810406428948e-101,0.20166879700127208,1.7345446863572296,9.359054087713307e-41
ovoid,shape,2.0696388605032437e-16,5.4097079657619551e-05,0.00051259115181941301,4.7331520406713414e-05,0.0033924420427331172,0.00029199850634301414,0.48285279412037163,1.2994863162941168,6.8998012472028343e-07
block,shape,0.84997682340407155,0.87289978051851236,0.92016134526025684,0.60983026972082333,0.99986042952230103,1.0398536452615712,0.0011513693668067382,0.11624323747828333,0.96150788169969093
block,shape,0.99999998324385864,0.98115893563435708,0.99401880376763785,0.30337830591592979,0.95430984470990143,0.99483225040661072,0.66604677221786213,0.45354485929348243,0.98467934598291085
