,,green arch,yellow banana arch,cabbage black sphere,orange carrot cylinder,white corn cylinder,blue cube,red cuboid,green cucumber cylinder,blue cylinder,black eggplant cylinder,yellow lemon sphere,green lime sphere,orange sphere,purple plum sphere,brown potato sphere,yellow semicylinder,red tomato sphere,green triangle
archshaped,rgb,0.00719586,0.0140426,0.0304133,0.0126108,0.0119664,0.0219388,0.0737664,0.0255327,0.0195333,0.0297762,0.0186796,0.0160566,0.0315037,0.0366286,0.0142949,0.0133945,0.0554617,0.0203846
archshaped,shape,0.97956,0.00544237,0.000423172,0.22118,9.51835e-08,2.36868e-05,0.0177914,0.00181732,0.000124823,0.201148,3.60892e-06,6.36167e-11,2.31395e-12,6.36291e-07,3.61539e-09,8.84151e-09,5.61698e-07,0.0157847
archshaped,object,0.668964,0.00260352,0.000171144,0.167875,2.9727e-08,4.80408e-07,0.194465,0.000959716,2.2887e-06,0.170105,3.52308e-06,3.91229e-11,2.00125e-11,5.85873e-07,2.4059e-09,2.42339e-08,2.68557e-06,0.000251195
arcshape,rgb,0.181021,0.0279703,0.0308228,0.0212955,0.0467444,0.0664254,0.001908,0.0381096,0.07297,0.0284569,0.013916,0.048756,0.0092269,0.0137682,0.0228287,0.0268118,0.00506411,0.0585418
arcshape,shape,0.966395,0.00183892,1.8927e-05,0.00275946,9.04133e-11,0.00212069,0.00119571,0.000222697,1.05777e-05,0.000782017,4.21107e-11,1.58943e-06,6.43125e-09,5.26897e-05,6.66469e-11,2.07699e-11,1.6414e-06,0.00044156
arcshape,object,0.947114,0.00130667,1.87032e-05,0.00320019,1.01606e-10,0.00283988,0.00114709,0.000268595,1.2785e-05,0.000706318,5.57981e-11,1.76641e-06,6.39602e-09,4.9803e-05,8.3063e-11,2.82144e-11,1.64623e-06,0.000528036
banana,rgb,0.981653,0.998057,0.695548,0.986285,0.971053,0.332849,0.718263,0.910775,0.380029,0.77744,0.999455,0.996236,0.98635,0.702232,0.993827,0.999587,0.820224,0.919884
banana,shape,0.218832,0.477744,1.6639e-06,0.116027,0.199778,0.000122686,4.43984e-06,0.20088,0.00330392,1.97396e-05,5.16903e-05,1.06898e-10,4.32081e-05,1.06958e-05,0.199188,0.00328468,0.0148613,0.000121639
banana,object,0.221763,0.690852,1.10267e-06,0.182102,0.0788818,5.12608e-06,4.65767e-06,0.152156,0.00051227,4.97063e-05,1.65133e-05,1.79654e-10,8.38298e-05,2.19673e-06,0.196492,0.0439407,0.0121432,0.000379769
black,rgb,0.020409,0.0204993,0.0473712,0.00617939,0.0131252,0.0383646,0.0261075,0.0570378,0.0333499,0.0482741,0.0259726,0.0466343,0.0314364,0.0342758,0.0130118,0.026493,0.0398824,0.0535978
black,shape,0.00210857,0.32044,9.3517e-06,4.23276e-08,0.0541372,2.92352e-07,0.000418446,0.0224739,0.00263292,0.214165,0.0111984,2.25153e-07,1.36993e-05,2.8694e-07,0.0111023,4.11447e-15,0.000998309,0.046542
black,object,0.014606,0.203348,3.78653e-05,8.13041e-07,0.0714655,3.363e-06,4.60396e-06,0.0169142,0.000776169,0.193771,0.00608825,3.12359e-06,7.81893e-06,5.30785e-07,0.0113523,1.56944e-15,0.000136235,0.00829227
block,rgb,0.983462,0.98718,0.984615,0.977614,0.981,0.981336,0.984325,0.987647,0.980712,0.985814,0.990056,0.989771,0.987972,0.984185,0.984112,0.990483,0.986416,0.987194
block,shape,0.41796,0.00198025,0.000591724,0.480523,0.239006,0.669958,0.999999,0.130031,0.398964,0.600167,0.00977724,4.97701e-09,2.52054e-09,3.60736e-05,3.23853e-05,0.631194,0.000104264,0.711768
block,object,0.294048,0.000185843,0.00059248,0.433815,0.378931,0.73104,0.999998,0.131031,0.515126,0.600265,0.00531265,2.65795e-09,6.33542e-09,0.000188229,4.07305e-05,0.630286,8.89893e-05,0.664321
blue,rgb,0.590604,5.28053e-11,0.0141451,6.759e-08,4.23814e-05,0.999356,1.70552e-12,0.000150393,0.999637,0.000765819,1.14768e-15,1.56635e-08,2.29046e-12,3.17055e-05,7.12224e-10,1.0598e-13,3.137e-10,0.00496618
blue,shape,0.831668,0.154943,7.41444e-05,0.220883,0.0871569,4.54547e-05,0.948349,0.146757,0.17038,0.331463,3.32364e-09,1.65686e-06,3.7216e-11,4.99189e-07,2.41345e-09,0.0147011,0.000648887,0.846703
blue,object,0.830049,0.000147266,1.78607e-05,0.141609,0.00958486,0.040229,0.0132818,0.115233,0.897103,0.179168,3.68032e-10,1.88311e-05,2.53318e-09,2.97751e-05,1.311e-07,5.48067e-08,3.02505e-05,0.926299
brown,rgb,0.0150775,0.0179859,0.0426828,0.0117651,0.0158866,0.0369385,0.0495356,0.0404093,0.0331089,0.0420569,0.0212157,0.0270863,0.0324535,0.0409806,0.0160743,0.0180505,0.0502788,0.0358559
brown,shape,2.43501e-05,0.307597,3.60028e-07,7.30569e-07,0.698327,4.82807e-05,0.000249924,0.0485294,0.000103346,3.64598e-06,0.0679719,3.13275e-10,1.33124e-05,2.79004e-08,0.144966,0.36363,0.114586,2.6278e-06
brown,object,2.81504e-06,0.0347582,2.97768e-08,1.60372e-07,0.660074,0.000174572,1.48821e-05,0.0344047,0.000503378,4.41117e-06,0.0819651,3.39264e-10,9.92723e-06,1.3908e-08,0.156126,0.36345,0.068176,7.46825e-06
cabbage,rgb,0.90264,0.674346,0.991849,0.988688,0.977212,0.998078,0.998215,0.944356,0.998011,0.985338,0.319839,0.481357,0.909452,0.995504,0.924572,0.173029,0.992224,0.93945
cabbage,shape,0.220773,1.44945e-06,1,6.5199e-06,2.31595e-12,0.000162036,0.000149788,1.65263e-05,5.66431e-06,5.28376e-08,1.32618e-15,5.90345e-10,2.27564e-11,0.00328538,4.46052e-12,1.77125e-12,2.19628e-06,7.58422e-06
cabbage,object,0.219965,1.0902e-06,1,5.28414e-06,3.25792e-12,0.000188745,0.000109158,2.02865e-05,5.82093e-06,6.11852e-08,1.38795e-15,6.64405e-10,2.3398e-11,0.00293733,4.95901e-12,1.83818e-12,2.11085e-06,8.03605e-06
carrot,rgb,0.00492922,0.52601,0.00188978,0.988298,0.201131,9.99489e-15,8.04117e-09,1.86736e-13,1.18882e-13,2.43722e-09,0.001749,1.91187e-11,1.92041e-08,1.4491e-11,0.785855,0.139204,1.55347e-12,9.63544e-15
carrot,shape,6.83088e-07,0.171994,2.04031e-07,0.790614,1.09372e-05,8.78067e-08,7.56213e-06,0.294567,5.9767e-06,5.2217e-08,2.11858e-11,1.1321e-18,9.92658e-14,2.23488e-12,5.77406e-06,1.09871e-08,6.69132e-07,0.000803552
carrot,object,1.70394e-07,0.177979,1.49871e-06,0.796191,6.37896e-06,4.48575e-08,5.32016e-06,0.165215,2.59383e-06,6.97129e-08,6.64899e-11,1.0311e-18,1.25312e-13,2.80659e-12,5.88219e-06,1.79562e-08,7.42459e-07,0.000302062
cherry,rgb,3.86923e-09,0.00153428,0.00326946,0.0212859,2.53358e-05,5.40938e-06,0.999927,0.000455906,2.13388e-06,0.00278418,0.0611359,5.02058e-05,0.522645,0.125284,0.00350689,0.00154904,0.984408,2.0633e-05
cherry,shape,1.64572e-05,1.76998e-05,2.79161e-05,0.000343382,5.68414e-07,0.00228387,3.78204e-05,5.30692e-05,0.000311864,2.01807e-06,0.427959,2.92572e-06,0.0411329,1.75306e-05,0.182869,0.000388304,0.693974,2.52161e-05
cherry,object,7.35995e-06,2.20335e-05,3.61359e-05,0.000354664,7.12571e-07,0.00149608,0.000149703,5.57724e-05,0.000224461,2.68773e-06,0.444508,5.59595e-06,0.0639128,3.67972e-05,0.173857,0.000434464,0.736421,2.80496e-05
circle,rgb,0.0109288,0.00444119,0.0829423,0.00424451,0.0101138,0.122831,0.0536605,0.0503295,0.102249,0.0701434,0.00309087,0.0108215,0.0145833,0.0640882,0.00518688,0.00255343,0.0564252,0.0451348
circle,shape,0.158963,0.2062,4.93795e-07,5.90947e-05,6.50048e-18,3.01084e-10,4.09628e-08,6.14633e-06,0.000474206,0.199979,3.83599e-17,1.23469e-18,7.42099e-19,1.26811e-11,1.29191e-14,3.87918e-24,6.31047e-07,9.65578e-05
circle,object,0.0840825,0.140244,5.39577e-07,4.27147e-05,6.56296e-17,4.01556e-10,5.92668e-08,3.5668e-06,0.000945538,0.199805,9.82266e-17,9.73258e-19,4.78852e-19,1.8222e-11,6.56555e-14,1.05434e-24,4.89154e-07,3.93586e-05
circular,rgb,0.00168543,0.00265273,0.0614064,0.00381528,0.00458306,0.050271,0.197773,0.0278663,0.0379368,0.0503101,0.00274003,0.00429759,0.0191287,0.0708611,0.00363185,0.0015064,0.116296,0.0178545
circular,shape,0.369392,0.33453,4.02472e-05,0.0121939,0.0358173,9.55183e-05,0.000401509,0.00936769,0.804946,0.387915,6.06106e-06,9.6157e-07,2.94137e-08,0.42513,0.00017506,1.66525e-07,0.131905,0.194516
circular,object,0.0866045,0.327085,8.36963e-06,0.018321,0.15827,9.34968e-05,0.00334206,0.00926602,0.717277,0.388901,2.19197e-05,1.79404e-07,2.35545e-08,0.385276,0.0018129,7.04333e-08,0.171311,0.140404
cob,rgb,0.685409,0.661941,0.166616,0.999859,0.98341,0.000550766,0.000562092,6.38963e-06,0.0031506,0.008439,0.0134213,1.22324e-05,0.000320552,0.000318909,0.819465,0.118026,4.8956e-06,5.40988e-06
cob,shape,6.85127e-06,0.405545,8.47361e-05,0.00599879,0.638973,1.33312e-05,0.000935523,0.279141,7.54654e-05,7.24728e-05,2.19321e-08,1.18634e-10,2.25088e-08,1.41551e-07,0.000358729,0.162994,0.000117531,5.26386e-08
cob,object,6.03145e-06,0.394512,8.35674e-05,0.00481241,0.637814,1.49805e-05,0.000763478,0.280996,7.83771e-05,7.2798e-05,2.4105e-08,1.39536e-10,2.35985e-08,1.43275e-07,0.000349227,0.160872,0.000115476,5.19468e-08
corn,rgb,0.928709,0.666352,0.166666,0.999993,0.99912,0.00141562,0.000172676,3.04409e-06,0.0119851,0.0249227,0.00940695,3.13239e-06,0.000106512,0.000249028,0.836046,0.158396,6.07644e-07,2.39059e-06
corn,shape,3.17089e-06,0.432231,9.25889e-05,0.00410108,0.688502,1.25243e-05,0.000849124,0.334836,7.26168e-05,4.41339e-05,5.37038e-08,1.7768e-10,2.41154e-08,1.40523e-07,0.00159853,0.19441,0.000117416,4.0921e-08
corn,object,2.87564e-06,0.425025,9.19177e-05,0.00329651,0.687003,1.40773e-05,0.000699307,0.335905,7.58967e-05,4.44354e-05,5.67945e-08,2.07159e-10,2.49577e-08,1.43248e-07,0.00153218,0.19288,0.000114989,4.05618e-08
cube,rgb,0.924136,0.980257,0.966515,0.838439,0.899325,0.941822,0.988217,0.988516,0.930486,0.981811,0.994543,0.992638,0.991933,0.978768,0.960878,0.994073,0.991154,0.984716
cube,shape,0.933152,0.479309,0.0519233,0.257875,0.320663,0.562128,0.779122,0.1936,0.999913,0.798695,3.44323e-05,0.279903,9.86164e-06,0.399478,0.0124886,0.636356,0.0813625,0.902522
cube,object,0.812445,0.343383,0.0163419,0.240186,0.200785,0.772673,0.759455,0.210212,1,0.788795,9.70217e-05,0.374312,2.85353e-07,0.382992,0.00248696,0.636345,0.00905139,0.898491
cubeshaped,rgb,1.14862e-05,0.0104208,0.00626686,0.000458811,0.000114154,0.000103426,0.361322,0.00830438,5.39145e-05,0.00699784,0.0928605,0.0100537,0.0942171,0.00931323,0.00201411,0.0307042,0.204525,0.00216645
cubeshaped,shape,0.00333665,1.24755e-05,0.0129265,0.000102272,0.000425864,0.712343,4.131e-05,1.21529e-05,2.32088e-06,3.15131e-05,7.85956e-14,1.87699e-07,2.09221e-05,0.00466542,6.38309e-12,9.86818e-06,0.00105119,0.000539485
cubeshaped,object,0.000138623,1.55559e-05,0.0156397,4.43811e-05,0.000199504,0.559987,0.000166649,1.3896e-05,1.32349e-06,2.85692e-05,3.56065e-13,1.35439e-07,3.37387e-05,0.00312964,3.73212e-11,2.9091e-05,0.00156826,0.000392293
cubic,rgb,0.000152522,0.0139599,0.0196278,0.000736563,0.00052407,0.00109213,0.190449,0.0256603,0.000638026,0.0207979,0.0660168,0.0240111,0.0787566,0.0187932,0.00326313,0.0323466,0.161045,0.0101521
cubic,shape,0.0922667,5.69397e-05,0.00306734,0.00036176,0.172588,0.743955,0.000182844,1.7551e-05,1.29491e-05,1.46851e-05,2.00672e-14,5.07732e-06,7.23434e-05,0.176349,1.32752e-11,0.030552,0.000155007,0.00132079
cubic,object,0.0258574,2.55365e-05,0.00485642,7.46667e-05,0.151455,0.735155,0.000224421,2.36607e-05,7.57116e-06,1.58689e-05,4.74672e-14,1.02274e-05,9.07459e-05,0.167186,2.24575e-11,0.0770931,0.000172701,0.00171533
cubical,rgb,0.999824,9.24258e-07,0.0107466,2.6325e-10,0.000173716,0.992493,6.05679e-16,0.156057,0.994572,0.00786112,1.10155e-09,0.0511198,5.89593e-10,5.6998e-06,2.48488e-08,5.26443e-07,5.51699e-11,0.922725
cubical,shape,0.0249505,0.159501,0.000694629,0.000161057,0.258423,9.43203e-06,0.713997,0.0648705,0.52106,0.0293109,1.30731e-07,0.000136046,3.52482e-06,0.000323887,0.000144338,0.143987,0.00155863,0.212925
cubical,object,0.0274303,0.0153695,0.000735666,0.000131155,0.230271,0.000289716,0.100519,0.0983281,0.737734,0.0173476,1.27489e-07,0.000365872,2.60599e-06,0.000417821,0.000188541,0.121952,0.000400779,0.294453
cuboid,rgb,0.993988,0.00286537,0.00145418,1.77653e-05,0.00629086,0.0331767,7.11144e-12,0.0192871,0.051212,0.00110455,0.000167328,0.330756,1.95042e-06,4.60368e-06,0.000159562,0.029684,1.0963e-08,0.208056
cuboid,shape,0.513074,8.16153e-05,2.23808e-05,0.0561392,0.283386,0.339598,0.816889,0.12023,0.000150883,0.00126001,7.6123e-09,0.000964926,7.5196e-06,0.0681557,5.99979e-06,0.682189,0.000408177,6.88367e-05
cuboid,object,0.538171,1.00283e-06,2.8141e-05,0.0146031,0.269299,0.683826,0.38538,0.123432,0.00784856,0.000510122,2.00858e-09,0.00335951,5.56377e-06,0.0205153,6.85609e-06,0.603661,0.000121253,0.00196519
cuboidshaped,rgb,0.972878,0.00387507,0.0039321,0.00018262,0.0147186,0.0561508,9.09044e-10,0.0178531,0.0817179,0.00236509,0.000261357,0.140457,1.13533e-05,3.43656e-05,0.000559085,0.0130709,2.46537e-07,0.133374
cuboidshaped,shape,0.0843767,1.04319e-05,3.33528e-07,0.293806,0.310755,0.00195628,0.819623,0.124497,0.0191099,0.00549412,8.3163e-06,2.10674e-05,1.05631e-05,0.000180008,0.000501405,0.641063,0.000126645,0.0311908
cuboidshaped,object,0.266006,7.72858e-07,4.18699e-07,0.232827,0.273933,0.0193087,0.484665,0.124651,0.0975096,0.00230088,4.18347e-06,0.000100365,7.96737e-06,0.000189555,0.000541774,0.44927,6.83393e-05,0.0912382
cucumber,rgb,0.998904,0.80907,0.907456,0.00549724,0.564551,0.991486,0.00159755,0.998483,0.988815,0.979182,0.899093,0.999585,0.607852,0.568696,0.272434,0.989068,0.200467,0.999423
cucumber,shape,0.000175137,0.235467,8.46229e-05,0.454531,0.0122697,8.92979e-06,0.00191884,0.749986,1.38898e-05,0.00726341,2.43666e-07,2.21295e-16,1.40491e-13,1.47589e-10,0.0453169,2.9126e-06,4.23926e-08,0.000137105
cucumber,object,9.18345e-05,0.190812,5.62238e-05,0.324143,0.021978,3.21466e-05,0.00088408,0.750011,4.74538e-05,0.0216201,4.59275e-07,1.04209e-14,1.20087e-12,6.27595e-10,0.0404503,3.51312e-06,6.4035e-08,0.000234409
curved,rgb,0.00448415,0.00798138,0.0350171,0.0033917,0.00543667,0.0222017,0.0485162,0.0313673,0.0178795,0.0334748,0.0112052,0.0159279,0.0229009,0.0309724,0.00593588,0.00846463,0.0495381,0.0242056
curved,shape,0.110724,0.328962,1.1277e-06,0.0655851,4.51168e-15,1.32256e-10,1.60128e-07,0.000755296,0.000533373,0.0391561,2.0089e-10,3.8726e-18,2.71728e-15,2.46058e-11,9.17381e-11,1.55711e-21,3.35231e-05,0.000122801
curved,object,0.104369,0.307504,6.94049e-07,0.191613,4.92269e-15,4.29799e-10,7.75287e-08,0.000580379,0.000515905,0.00693627,4.0481e-11,8.71629e-19,6.32921e-16,1.63541e-11,2.49634e-10,1.59315e-22,7.20662e-06,4.7132e-05
cylinder,rgb,0.977804,0.993604,0.985842,0.940612,0.96556,0.973556,0.992438,0.9951,0.969324,0.991806,0.99808,0.997452,0.996393,0.989195,0.986408,0.99817,0.994963,0.993885
cylinder,shape,0.775863,0.716145,0.000733665,0.33332,0.314893,0.000318,0.869479,0.805882,0.999992,0.973611,0.496682,0.186749,0.000112065,0.192457,0.340864,0.542424,0.491982,0.9999
cylinder,object,0.728623,0.342952,0.00295291,0.314429,0.246421,0.00833654,0.775711,0.703679,1,0.754694,0.499969,0.166416,0.000213983,0.195499,0.36889,0.361583,0.26672,0.99992
cylindershape,rgb,0.000809128,0.036811,0.0318225,0.00041727,0.000778848,0.00196146,0.0487192,0.0712425,0.00114883,0.0364797,0.14637,0.118888,0.091636,0.0158606,0.00436589,0.11995,0.101072,0.0374102
cylindershape,shape,1.00424e-06,0.217963,4.68579e-13,5.86645e-06,7.57934e-06,7.0201e-09,3.0797e-06,0.00121972,0.991953,0.0216929,8.08937e-08,4.42257e-07,1.83793e-06,3.54768e-06,0.0952932,1.31904e-12,0.000556082,0.0473437
cylindershape,object,3.31306e-07,0.0852426,4.05374e-13,6.1146e-07,6.55175e-06,2.0906e-08,1.46973e-06,0.00174753,0.995713,0.0156088,6.31924e-08,1.06133e-06,1.58917e-06,3.29764e-06,0.124904,1.09814e-12,0.000518782,0.0978448
cylindershaped,rgb,0.000891114,0.0257914,0.0291419,0.00109447,0.00139062,0.00283742,0.0874236,0.0478905,0.00182622,0.0319412,0.0975426,0.060829,0.0827312,0.0214603,0.00566809,0.0681133,0.112952,0.025292
cylindershaped,shape,1.04294e-06,0.167658,1.14309e-12,4.08985e-06,6.88974e-06,1.1564e-08,4.24142e-06,0.000966643,0.985171,0.0202732,1.37358e-07,3.30698e-07,1.66561e-06,2.87672e-06,0.0735243,1.56121e-12,0.000482479,0.0358025
cylindershaped,object,3.31004e-07,0.0596168,9.39024e-13,5.00107e-07,6.12761e-06,2.95778e-08,2.27053e-06,0.00132309,0.991476,0.0139757,1.04979e-07,7.75469e-07,1.49366e-06,2.83664e-06,0.101744,1.37778e-12,0.000451093,0.0709191
cylindrical,rgb,0.0164533,0.0347101,0.0609107,0.00289932,0.0084322,0.0264364,0.0264424,0.0997541,0.020712,0.0653063,0.0643201,0.11353,0.0548698,0.0342389,0.0118296,0.0701982,0.0571023,0.085831
cylindrical,shape,0.11233,0.353482,9.28158e-13,1.25241e-06,6.23817e-07,2.04858e-11,1.03762e-08,0.00020118,0.642917,0.145036,0.000113004,3.66738e-09,1.01286e-07,2.00248e-05,0.0492945,2.04365e-10,0.0984426,0.0970789
cylindrical,object,0.00186419,0.035928,4.89267e-14,1.29799e-07,2.28832e-08,3.38321e-09,1.74832e-11,7.03022e-05,0.99378,0.106901,2.06396e-05,6.14226e-07,8.52953e-07,4.5258e-06,0.0109846,1.66507e-12,0.00178647,0.351114
ear,rgb,0.821975,0.665511,0.166661,0.999973,0.996245,0.000883629,0.000452742,4.77841e-06,0.00610011,0.0155675,0.0135799,6.81555e-06,0.000234412,0.00033728,0.830538,0.148912,2.34067e-06,3.79073e-06
ear,shape,5.3992e-06,0.428528,0.000109254,0.00708316,0.645864,1.3054e-05,0.000860645,0.323077,7.81904e-05,6.81256e-05,1.81094e-08,1.00752e-10,1.816e-08,1.35617e-07,0.000528582,0.173196,0.000121538,4.01802e-08
ear,object,4.74793e-06,0.4204,0.00010614,0.00578421,0.645158,1.42e-05,0.000736193,0.324204,7.99977e-05,6.73337e-05,1.96345e-08,1.13458e-10,1.87927e-08,1.34926e-07,0.000517248,0.171816,0.000119636,3.9339e-08
eggplant,rgb,0.995608,0.862603,0.994032,0.816987,0.962365,0.998985,0.821526,0.992871,0.998908,0.99255,0.645862,0.971606,0.86847,0.983234,0.868448,0.70545,0.937375,0.99559
eggplant,shape,8.88851e-06,2.828e-05,0.000140242,1.31384e-06,3.55123e-13,2.66392e-06,8.79639e-06,5.26178e-08,1.34908e-06,0.800374,8.69245e-15,1.4853e-12,3.01863e-10,7.913e-06,1.29474e-15,4.15383e-15,1.52145e-07,2.89425e-05
eggplant,object,2.10519e-05,1.61916e-05,0.000236561,1.23361e-06,1.55236e-12,6.94837e-06,6.77065e-06,1.00624e-07,3.00671e-06,0.800598,1.86732e-14,6.72286e-12,5.45913e-10,1.36712e-05,2.98904e-15,2.80043e-14,1.9081e-07,4.95685e-05
globular,rgb,0.000729739,0.0183428,0.0276717,0.00182968,0.00171574,0.00336882,0.143,0.0351835,0.00225087,0.0291397,0.0660467,0.0335632,0.0759382,0.0266287,0.00606104,0.0391076,0.131451,0.0179219
globular,shape,7.07362e-06,0.000369489,2.64736e-06,1.36357e-05,6.5249e-07,0.206107,0.000140432,6.73702e-07,1.40422e-05,0.000413237,0.345777,0.876431,0.998942,0.662322,0.300232,0.0156036,0.912437,3.54453e-05
globular,object,2.23669e-06,9.67577e-05,1.83514e-06,4.65335e-06,6.77606e-07,0.205727,0.000185691,5.69599e-07,1.31846e-05,0.000549374,0.348147,0.90517,0.999018,0.665882,0.296357,0.0109316,0.923443,3.9952e-05
golden,rgb,0.0261616,0.096444,0.0159162,0.0481976,0.0336739,0.00699288,0.0321652,0.0262139,0.00720844,0.0194087,0.178544,0.0729785,0.0691633,0.0189441,0.066137,0.207157,0.0318738,0.0233889
golden,shape,3.33964e-06,5.59057e-06,2.11349e-08,1.58802e-06,0.00497303,0.00535621,4.89842e-05,1.29456e-05,4.89664e-05,0.00435894,0.401855,0.00227581,0.997289,0.000506862,0.0517924,0.000781689,0.599037,3.16353e-06
golden,object,2.9473e-06,5.46755e-06,1.96195e-08,8.23465e-07,0.00480417,0.00500016,4.32184e-05,1.37285e-05,4.90158e-05,0.00512113,0.421364,0.00369106,0.997324,0.000486603,0.0531035,0.000924034,0.585033,4.13725e-06
green,rgb,0.99782,0.636889,0.821692,0.00108663,0.312805,0.964504,0.00015128,0.995062,0.954889,0.924908,0.763201,0.99909,0.259019,0.228378,0.107818,0.977636,0.0347776,0.998316
green,shape,0.541912,0.795932,6.25447e-05,0.227422,0.739584,0.441402,0.601472,0.558943,0.835349,0.40685,0.337649,1,0.998644,0.695533,0.400004,0.36679,0.205081,0.470836
green,object,0.526871,0.253713,2.56296e-06,0.0611046,0.198797,0.750894,4.17924e-05,0.953031,0.942051,0.648075,0.541197,1,0.972049,0.76693,0.399091,0.367482,0.0766886,0.605447
half,rgb,0.870697,0.672059,0.945517,0.831613,0.866627,0.974507,0.926659,0.903776,0.973064,0.933091,0.513211,0.726358,0.79277,0.942587,0.770115,0.445406,0.915152,0.908068
half,shape,0.867077,0.334373,0.000267568,0.223686,0.034797,4.66357e-06,0.0452486,0.0830275,0.165793,0.363735,5.27928e-05,7.99074e-17,2.74586e-16,1.15833e-09,2.57196e-06,1.47368e-09,0.00981159,0.180879
half,object,0.789861,0.33341,0.000193878,0.222573,0.149774,3.53405e-05,0.0320041,0.0580005,0.167052,0.26589,2.87365e-05,1.04752e-17,1.06538e-16,2.35645e-09,5.60961e-06,5.66203e-11,0.00427912,0.0571376
halfcircle,rgb,0.00197935,0.010933,0.0131731,0.0147984,0.00714815,0.0061629,0.11851,0.0100388,0.00551993,0.0132394,0.0197804,0.00724787,0.0308911,0.02425,0.0128377,0.0110556,0.0556255,0.00670014
halfcircle,shape,0.548458,0.343277,9.88304e-06,0.171978,9.82721e-06,3.03524e-05,0.0573884,0.00859999,0.122287,0.337646,2.86125e-07,2.79213e-09,6.38926e-09,5.57707e-07,8.69168e-07,2.77686e-11,0.0030805,0.0564426
halfcircle,object,0.697452,0.109109,3.69197e-05,0.220225,1.32069e-05,0.0120986,0.00272317,0.00336507,0.133506,0.242419,2.25663e-09,2.27089e-07,1.12739e-08,7.24506e-06,3.97896e-08,1.03534e-12,0.000150313,0.0741353
halfcylinder,rgb,0.0316848,4.53542e-08,0.00591992,6.53154e-07,0.000107145,0.865553,3.92732e-08,0.000863031,0.87037,0.00224815,1.87012e-10,2.7057e-06,2.63536e-08,0.000298136,1.93509e-07,1.97726e-09,7.71196e-07,0.00484079
halfcylinder,shape,0.111472,0.25533,4.5705e-10,0.000197341,9.28597e-06,2.4385e-08,0.000781174,0.00277979,0.432875,0.599965,0.000835993,1.78443e-11,9.181e-10,4.6342e-08,0.00310714,1.15443e-11,0.0230273,0.601244
halfcylinder,object,0.109992,0.00632172,5.18499e-08,4.37017e-05,1.21451e-05,2.667e-05,3.66233e-05,0.00117299,0.645982,0.586102,9.24137e-06,4.00507e-09,8.27835e-09,1.91963e-06,9.82936e-05,5.93777e-11,0.00187434,0.422126
