,,red arch,green banana arch,cabbage black sphere,orange carrot cylinder,white corn cylinder,red cube,blue cuboid,green cucumber cylinder,green cylinder,black eggplant cylinder,yellow lemon sphere,green lime sphere,orange sphere,purple plum sphere,brown potato sphere,green semicylinder,yellowish red tomato sphere,blue triangle
black,shape,0.0516266,0.349618,1.00092e-07,0.142858,1.8289e-06,2.0776e-06,1.29681e-06,0.000523379,0.000588269,2.25857e-05,3.25876e-07,6.07678e-10,2.66831e-05,5.09251e-05,3.73983e-08,4.23705e-06,9.64888e-05,0.0320145
black,object,0.00119119,0.389363,1.24039e-07,0.142857,1.73289e-06,1.36884e-06,3.3635e-06,0.000173466,0.000946293,0.000149646,2.63655e-07,7.64342e-10,7.138e-05,3.73351e-05,1.00089e-08,5.62086e-06,6.78494e-05,0.030889
block,rgb,0.940236,0.982146,0.741311,0.366279,0.583742,0.983515,0.348193,0.985579,0.974448,0.955435,0.996945,0.993237,0.996385,0.891692,0.987076,0.990524,0.994367,0.53492
block,shape,0.385335,0.616316,0.255303,0.143069,3.99981e-09,0.224425,0.988181,0.00278451,0.146291,0.29739,0.00033526,2.31172e-08,8.45542e-11,0.00253542,0.000124868,0.417908,3.8826e-07,0.729539
block,object,0.504183,0.403898,0.10029,0.14295,1.46342e-10,0.312427,0.769258,0.00167823,0.111763,0.173548,0.000251322,4.77465e-08,2.47898e-10,0.000396302,0.000135041,0.196768,1.22676e-06,0.486358
blue,rgb,8.13495e-20,1.57801e-07,0.000887237,5.70892e-13,1.39439e-07,2.90401e-14,1,4.0056e-05,0.00119883,0.000167879,1.42744e-16,2.7697e-10,2.55512e-13,1.62891e-10,7.81782e-14,0.000480383,5.46197e-16,0.999924
blue,shape,0.299665,0.694179,0.00111069,0.140961,0.00109112,0.999905,0.0158818,0.0913076,0.408486,0.00147734,1.20408e-08,8.90426e-08,0.00150787,0.00654092,6.36837e-10,0.351655,0.00196475,0.389997
blue,object,6.03106e-08,0.282008,0.000681178,4.18363e-06,4.25552e-05,0.087001,0.937943,0.00822723,0.475714,0.000290499,1.43168e-08,8.17142e-07,4.01395e-06,4.90307e-05,3.27006e-07,0.251785,1.33064e-06,0.992845
brown,rgb,0.137932,0.0251132,0.0358768,0.0381372,0.026813,0.0788,0.0347134,0.0268086,0.0207874,0.0335672,0.0246087,0.0148076,0.02864,0.0525495,0.0293817,0.0167015,0.0392002,0.0357063
brown,shape,2.59621e-06,0.208183,8.09787e-13,0.00147361,0.999999,2.68104e-09,0.000172405,0.145549,6.38409e-06,2.56942e-13,0.219958,3.88384e-13,0.00297227,9.29981e-11,0.0930474,0.000115292,0.000234267,9.73555e-08
brown,object,1.03841e-08,0.172654,3.83685e-13,0.000915593,1,1.57186e-10,0.00170503,0.13479,1.03595e-05,4.57178e-13,0.219725,1.23866e-13,0.000753355,1.01774e-11,0.118809,0.000215943,6.87024e-05,1.48917e-07
cabbage,rgb,0.999998,0.945942,0.993338,0.995707,0.968764,0.999951,0.996032,0.971047,0.883624,0.992172,0.932405,0.439917,0.972727,0.999464,0.97822,0.649089,0.995772,0.99631
cabbage,shape,0.00350646,0.000539238,0.999932,0.134144,9.41818e-10,1.21516e-05,1.42342e-05,5.7192e-06,6.18399e-08,1.21561e-07,2.79841e-10,1.92927e-10,9.90831e-11,3.57561e-07,1.61732e-09,4.65741e-07,4.90144e-10,5.44706e-05
cabbage,object,0.00406785,0.000499847,0.999941,0.126873,1.26391e-09,1.74142e-05,1.94739e-05,7.24999e-06,7.88074e-08,1.57228e-07,4.19734e-10,3.89747e-10,1.75286e-10,4.46605e-07,2.29232e-09,5.76434e-07,7.94428e-10,4.76289e-05
carrot,rgb,0.999998,1.07752e-15,7.84672e-06,0.999623,0.2,2.68905e-07,2.63039e-16,1.08499e-23,4.09483e-24,1.62143e-12,2.25115e-17,3.14985e-23,9.2672e-18,7.5508e-06,1.0871e-13,4.60452e-29,3.27088e-13,4.25578e-16
carrot,shape,0.00050062,0.00566142,0.000182146,0.856879,8.59613e-05,3.91173e-09,4.23606e-08,0.0177199,1.19094e-08,0.000238147,1.40809e-13,1.61012e-19,8.40724e-16,3.6962e-11,9.66542e-11,5.27399e-09,1.62339e-12,0.000308463
carrot,object,0.00503343,0.0032878,7.85011e-05,0.858463,1.02157e-05,2.99953e-09,1.006e-08,0.00453018,6.06137e-09,0.000111073,1.81475e-13,8.45394e-20,8.09207e-16,1.05252e-10,6.91413e-11,7.60993e-10,2.2721e-12,0.000327117
cherry,rgb,1.03649e-07,0.380916,1.36379e-05,2.05686e-20,1.41392e-19,0.0321646,3.49713e-22,0.0125247,7.55989e-06,0.00387942,0.99015,0.0892163,0.994171,1.07297e-12,0.000968466,0.260375,0.801495,3.33116e-19
cherry,shape,4.03614e-06,0.3906,9.93023e-10,0.000144924,3.2094e-09,1.81907e-07,1.81847e-06,4.66119e-06,1.20127e-06,1.96204e-06,0.421199,3.09925e-11,7.19937e-05,1.10314e-07,0.114121,3.27426e-07,0.602585,3.2518e-05
cherry,object,1.97394e-05,0.383388,1.81482e-09,9.83764e-05,3.64472e-09,6.19149e-07,7.13351e-07,5.82169e-06,1.80118e-06,1.93211e-06,0.486944,1.22328e-10,0.00014638,2.19511e-07,0.138994,3.9419e-07,0.706241,2.18884e-05
circle,rgb,0.0211358,0.0608186,0.046577,0.031006,0.0426771,0.0337482,0.0460746,0.0626269,0.0677257,0.054449,0.0605584,0.0768847,0.058658,0.0361942,0.0524097,0.0797346,0.0481475,0.0462151
circle,shape,0.457329,0.598155,1.08672e-05,2.70393e-07,1.35007e-07,8.32841e-10,0.000135102,0.000391741,1.17743e-10,4.43257e-07,4.0612e-13,8.05169e-24,2.35298e-17,3.65811e-10,8.49064e-11,5.36105e-05,4.87797e-10,4.949e-05
circle,object,0.492593,0.566945,4.19212e-06,4.92373e-07,2.31812e-07,6.53739e-10,0.000879864,0.000268731,3.82744e-11,1.49088e-06,2.2921e-13,1.52693e-24,3.14686e-18,7.23907e-10,1.59882e-10,4.43133e-06,8.86837e-11,7.11507e-05
circular,rgb,0.999999,2.93184e-10,0.00684849,3.5516e-10,1.79634e-11,0.978383,0.911703,2.80046e-09,2.74635e-12,1.9045e-05,3.10216e-17,7.09006e-21,1.48226e-13,0.00237385,3.01739e-13,2.13061e-14,9.68739e-10,0.467235
circular,shape,0.000419166,0.337111,0.361319,0.142878,0.169556,0.00400923,5.58254e-05,0.016329,0.782295,0.0926801,8.69509e-05,1.66995e-14,8.98678e-12,0.000312248,0.0143973,0.500544,1.72881e-05,0.894317
circular,object,0.00620032,0.213143,0.286175,0.142863,0.145496,0.00542999,0.000815022,0.0138621,0.712745,0.0304974,2.80166e-05,1.37059e-13,2.47391e-11,0.000620161,0.0121096,0.496756,5.33557e-06,0.97385
cob,rgb,0.996612,0.00131501,0.399518,0.999994,0.973646,0.00514065,0.0274344,2.05816e-07,9.095e-07,0.0331274,1.37958e-05,1.85918e-06,3.83124e-06,0.643407,0.00120949,1.10541e-08,0.000144275,0.0120484
cob,shape,1.77331e-08,0.197911,1.83494e-06,0.194421,0.999975,9.23009e-06,0.000119067,0.127254,6.22953e-05,3.97643e-08,2.38699e-08,8.02396e-11,8.52573e-08,4.7192e-08,3.57326e-08,0.01657,1.08463e-07,2.29695e-06
cob,object,8.1016e-09,0.197319,2.02441e-06,0.179701,0.999976,6.47652e-06,0.000179223,0.128367,6.39596e-05,5.58619e-08,2.55326e-08,9.39041e-11,8.64156e-08,3.44699e-08,3.99033e-08,0.0188642,9.54939e-08,2.39689e-06
corn,rgb,0.999371,0.00253316,0.399984,1,0.997327,0.00696287,0.16361,8.35112e-08,5.53472e-07,0.0877592,5.56212e-06,8.18797e-07,1.43146e-06,0.897736,0.00132747,3.10086e-09,8.99114e-05,0.0594246
corn,shape,1.19756e-08,0.199414,1.46195e-06,0.200903,0.999996,6.88113e-06,0.000133327,0.132178,8.60682e-05,2.3881e-08,2.08275e-08,6.84039e-11,6.56264e-08,2.60667e-08,3.28459e-08,0.0219065,6.73769e-08,1.89192e-06
corn,object,5.36881e-09,0.199004,1.71323e-06,0.188941,0.999996,4.73118e-06,0.000213994,0.133014,8.27806e-05,3.41766e-08,2.11009e-08,7.87049e-11,6.3473e-08,1.93081e-08,3.52561e-08,0.0241986,5.55966e-08,1.94243e-06
cube,rgb,0.707927,0.985648,0.974735,0.891075,0.95887,0.919375,0.984963,0.989148,0.99165,0.984056,0.979606,0.991784,0.980094,0.939899,0.973244,0.994601,0.963942,0.983082
cube,shape,0.160722,0.760021,0.202377,0.281036,3.58074e-06,1,0.998075,0.256001,0.703806,0.786229,0.600101,0.786109,0.747699,0.676639,0.837116,0.575044,0.45724,0.972259
cube,object,0.0601421,0.77347,0.20088,0.214014,7.45812e-08,1,0.999958,0.292866,0.81233,0.972473,0.60011,0.798714,0.503739,0.701938,0.927781,0.812109,0.526462,0.999866
cubeshaped,rgb,2.23388e-14,0.00704265,0.00681706,5.23781e-06,0.00727634,5.00413e-10,0.876503,0.0350427,0.608691,0.00454968,3.64746e-05,0.352868,7.21266e-05,6.01158e-07,3.54075e-05,0.886588,3.60947e-07,0.428744
cubeshaped,shape,1.94452e-06,0.00490988,0.172751,3.15649e-06,6.04287e-12,0.971884,3.96712e-05,1.43527e-05,1.87208e-07,6.40491e-07,2.18974e-08,5.0557e-07,0.0385212,6.97272e-05,4.27465e-08,1.91889e-09,6.43536e-07,5.83543e-05
cubeshaped,object,1.91244e-08,0.00102395,0.145102,1.69957e-07,9.30955e-12,0.585656,0.00583955,2.85046e-05,1.7457e-06,1.31409e-06,3.0907e-08,2.63803e-06,0.00658106,2.13922e-05,6.59183e-08,3.01416e-08,2.64761e-07,0.00091745
cubic,rgb,1.8532e-16,0.00492608,0.0044595,9.71772e-07,0.00444601,2.13613e-11,0.927799,0.0318146,0.722778,0.00281599,1.11713e-05,0.450925,2.67552e-05,7.88058e-08,1.01949e-05,0.939454,4.94568e-08,0.487175
cubic,shape,3.09697e-06,0.0254745,0.0881646,4.82161e-06,2.53055e-11,0.998934,0.000686914,0.000111156,1.54868e-06,5.9325e-07,6.75217e-08,1.15874e-06,0.0194249,0.00145205,7.49547e-07,1.68719e-09,3.7947e-06,0.00107038
cubic,object,1.30612e-08,0.00699893,0.065834,3.27377e-07,1.93652e-11,0.900406,0.0245323,0.000136591,1.4293e-05,1.76685e-06,5.76455e-08,1.19603e-05,0.00416501,0.00020885,5.7966e-07,4.29945e-08,8.6043e-07,0.00855904
cubical,rgb,2.32395e-22,0.000156173,0.00041563,1.07628e-11,1.28336e-05,3.22871e-15,0.999597,0.00844512,0.605652,0.0008189,5.76485e-10,0.00447568,2.38783e-08,7.07659e-11,2.09383e-09,0.920064,2.92182e-12,0.952735
cubical,shape,0.0147868,0.000242275,0.000366391,0.275934,7.93524e-07,1.10145e-05,0.435352,0.100196,0.0596824,0.000304055,7.51533e-06,3.06593e-09,2.92619e-09,2.73697e-06,0.000126906,0.000492271,1.73112e-06,0.194447
cubical,object,0.00125391,0.00019643,0.000242118,0.190787,1.04496e-06,4.63361e-06,0.448054,0.0946053,0.0629055,0.000180894,8.48382e-06,8.78732e-09,5.79774e-09,1.40781e-06,0.00012542,0.000981837,1.68189e-06,0.182214
cuboid,rgb,0.0239803,0.0512468,0.0153152,0.000897858,0.00192609,0.0612915,0.00105815,0.0467294,0.0254155,0.0352513,0.115362,0.0543212,0.117555,0.00920018,0.0418225,0.0545796,0.0927834,0.00197043
cuboid,shape,0.408715,0.0956538,0.17026,2.84006e-07,4.78738e-16,0.985068,0.961954,0.00176332,1.23517e-06,5.80116e-05,3.99378e-06,1.33382e-07,7.9149e-05,0.000187167,7.85839e-07,7.19437e-08,5.5882e-05,0.000265455
cuboid,object,0.0545509,0.0984785,0.201645,1.28715e-08,4.17027e-16,0.852597,0.998432,0.00128369,6.43133e-06,8.56636e-05,9.28207e-07,6.64986e-08,6.56561e-06,5.83841e-05,7.73677e-08,1.35045e-06,7.41892e-06,0.00165054
cuboidshaped,rgb,0.107778,0.0210251,0.00685581,0.00394687,0.00274201,0.0784321,0.00048969,0.0150723,0.00783873,0.0129083,0.0844023,0.0221637,0.0720678,0.014111,0.0373761,0.0119252,0.0860778,0.00098999
cuboidshaped,shape,0.00994171,0.000160987,0.195552,0.143934,8.55424e-11,0.00069093,0.842365,3.51842e-05,3.39147e-05,6.74544e-05,5.88021e-06,5.69753e-08,2.20246e-09,5.08744e-05,1.39498e-06,3.6013e-05,1.41341e-06,0.000760897
cuboidshaped,object,0.0131437,2.82106e-05,0.183135,0.14283,5.676e-11,0.000857327,0.684758,2.49199e-05,1.6428e-05,5.67036e-05,7.48537e-06,6.73443e-08,5.16739e-09,2.1517e-05,3.11094e-06,1.61451e-05,2.31899e-06,7.11656e-05
cucumber,rgb,1.18646e-06,0.987993,0.802356,0.00238014,0.567421,0.00330838,0.99385,0.997961,0.999615,0.972835,0.921655,0.999617,0.912549,0.0314653,0.751102,0.999961,0.298563,0.986254
cucumber,shape,0.0103848,0.200025,8.32781e-05,0.714149,0.810938,1.0971e-05,0.000117783,0.98278,3.32353e-05,0.00175498,1.65877e-08,4.77126e-12,5.77808e-09,5.31995e-09,5.52391e-05,0.00172741,1.01114e-09,0.000151637
cucumber,object,0.00118043,0.200111,0.000103289,0.710697,0.813003,6.17939e-06,0.000102448,0.991865,0.000138928,0.00824316,5.68357e-08,3.32981e-11,2.77485e-08,4.31278e-09,6.71166e-05,0.0123304,1.98071e-09,0.000122079
curve,rgb,8.22606e-19,1.97927e-05,0.000786228,5.16238e-08,0.00038965,1.14673e-13,0.984991,0.000375085,0.0403379,8.23256e-05,2.06895e-09,0.000601504,1.62619e-08,1.67131e-09,1.11936e-08,0.213886,2.86439e-11,0.60123
curve,shape,0.882621,0.0283936,3.01149e-06,0.00387355,9.05561e-07,6.70231e-06,0.0174634,0.00106168,1.68968e-06,2.00892e-05,4.91063e-10,2.9138e-07,3.41352e-08,3.80929e-07,5.55429e-10,2.70698e-06,9.2547e-09,0.000322939
curve,object,0.717803,0.0225494,3.23075e-06,0.00293416,1.31403e-06,2.50294e-06,0.038261,0.00144082,7.11625e-06,1.99292e-05,6.45369e-10,3.73961e-07,3.57292e-08,3.127e-07,8.63096e-10,5.34333e-06,8.8462e-09,0.00107718
curved,rgb,1.93e-05,0.0223188,0.00962393,0.00146607,0.0104051,0.000311207,0.0277736,0.0287594,0.0653955,0.0140379,0.0106969,0.0881768,0.00951854,0.00129769,0.00709068,0.134236,0.00259167,0.0199964
curved,shape,0.484497,0.596726,8.07269e-06,1.39191e-06,0.193031,9.09194e-08,0.00193299,0.00206886,4.84021e-07,2.24888e-05,6.84133e-12,5.46205e-16,5.52433e-09,3.46487e-09,3.58567e-09,0.0248014,6.54905e-08,7.0583e-05
curved,object,0.399694,0.594914,1.50554e-05,1.69598e-06,0.198269,3.09894e-08,0.00547082,0.00176548,7.52237e-07,6.49672e-05,7.62152e-12,1.66915e-16,3.4761e-09,3.89592e-09,8.53272e-09,0.0306868,2.1288e-08,0.000120347
cylinder,rgb,0.996064,0.987145,0.988058,0.995786,0.992589,0.992439,0.98348,0.984135,0.98355,0.985436,0.990663,0.98689,0.989411,0.992465,0.991111,0.981043,0.991533,0.984766
cylinder,shape,0.43609,0.78732,9.3865e-06,0.142977,0.265912,0.426019,0.446119,0.428857,0.883349,0.372249,0.560134,0.00073954,9.51725e-07,0.350602,0.328917,0.999944,0.528446,0.865331
cylinder,object,0.395647,0.641123,5.04066e-06,0.147952,0.216344,0.386145,0.867429,0.359265,0.87787,0.516975,0.577426,6.55213e-05,6.94418e-08,0.409429,0.399734,0.999963,0.19622,0.998594
cylindershape,rgb,0.0343224,0.0772484,0.0413887,0.00401776,0.00900952,0.0783121,0.0129022,0.0873751,0.0611341,0.0744838,0.0956855,0.0712377,0.109339,0.0254607,0.0555228,0.0953164,0.0888798,0.017054
cylindershape,shape,1.14393e-06,0.199437,1.44147e-17,7.94138e-05,1.77131e-07,2.84541e-11,1.24711e-10,0.000548287,0.923035,0.000397117,7.01307e-05,1.24628e-10,4.92553e-10,1.63984e-09,1.03787e-05,0.0036955,3.14716e-05,0.496731
cylindershape,object,3.50848e-07,0.198386,2.12947e-17,7.22354e-05,1.61073e-07,2.1606e-11,2.93081e-09,0.000592069,0.918653,0.000673523,5.0721e-05,3.03511e-10,6.34916e-10,9.03838e-10,1.5021e-05,0.00553264,2.25488e-05,0.684965
cylindershaped,rgb,0.286283,0.0289591,0.0191192,0.00887832,0.00599831,0.175838,0.00315961,0.0259997,0.0128464,0.028767,0.0653981,0.0172176,0.0709024,0.0375611,0.0431604,0.0146669,0.100702,0.00516145
cylindershaped,shape,1.47656e-06,0.199111,6.20226e-17,6.96356e-05,3.31336e-07,6.24332e-11,2.58524e-10,0.00052765,0.869825,0.000418309,8.18813e-05,1.45405e-10,9.16994e-10,2.26088e-09,1.5036e-05,0.00410592,2.91589e-05,0.483856
cylindershaped,object,6.17786e-07,0.197514,9.04301e-17,6.59275e-05,3.38661e-07,6.29909e-11,4.03477e-09,0.00060186,0.863303,0.000656446,5.46313e-05,3.30438e-10,1.13424e-09,1.48585e-09,1.80421e-05,0.0051443,1.98081e-05,0.641573
cylindrical,rgb,0.0391011,0.0786175,0.0659809,0.016382,0.0291678,0.0696511,0.06254,0.0963882,0.0849714,0.0903768,0.0666224,0.0701869,0.0781927,0.0464178,0.0571804,0.10136,0.0671782,0.0638999
cylindrical,shape,0.387481,0.209516,5.9582e-09,0.14737,0.0212154,8.40385e-06,7.25317e-05,0.00962915,0.510112,0.00011714,1.00575e-05,2.75708e-10,8.68024e-13,6.34224e-07,2.72857e-05,0.402462,0.0215369,0.421879
cylindrical,object,0.000117511,0.198537,1.04677e-10,4.16292e-06,0.00451756,2.03213e-08,0.0313622,0.00377141,0.768569,0.000245775,1.31898e-05,7.10471e-08,2.20176e-11,8.90697e-08,8.90437e-05,0.325053,0.0107708,0.936475
ear,rgb,0.998234,0.00208202,0.399864,0.999998,0.989717,0.00696936,0.0706068,2.17352e-07,1.09704e-06,0.0570145,1.30115e-05,1.91204e-06,3.59036e-06,0.786886,0.0015619,1.0646e-08,0.000154726,0.0284849
ear,shape,1.63347e-08,0.198558,1.75271e-06,0.196425,0.99999,8.72023e-06,0.000123456,0.129613,7.08926e-05,3.18231e-08,2.36907e-08,1.03983e-10,9.00212e-08,3.97464e-08,3.247e-08,0.0157993,9.10683e-08,1.89996e-06
ear,object,7.27751e-09,0.197991,1.99655e-06,0.18203,0.99999,6.03507e-06,0.000192079,0.130706,7.12417e-05,4.5305e-08,2.4965e-08,1.22842e-10,9.01764e-08,2.88407e-08,3.56683e-08,0.0179082,7.80862e-08,1.97492e-06
eggplant,rgb,0.924501,0.988898,0.984344,0.815774,0.921405,0.9828,0.996361,0.995515,0.995012,0.993831,0.977532,0.987416,0.985865,0.974683,0.976504,0.996212,0.978888,0.995536
eggplant,shape,0.00705979,0.000107086,0.176646,9.50127e-06,2.09419e-19,2.23345e-05,2.50881e-07,5.4168e-07,3.72731e-09,0.999978,4.36766e-13,5.77135e-12,2.55583e-09,5.49136e-06,7.17516e-13,3.19721e-05,3.16169e-11,3.94979e-05
eggplant,object,0.00217665,0.000160594,0.158997,4.88787e-06,4.79142e-19,1.49207e-05,6.21477e-07,1.00709e-06,8.3398e-09,0.999981,8.85255e-13,9.32908e-12,3.28626e-09,5.17253e-06,1.30081e-12,7.61619e-05,3.57277e-11,5.27248e-05
globular,rgb,0.000776741,0.236272,0.0110279,1.52611e-07,1.54552e-06,0.064769,7.37839e-07,0.136354,0.0226651,0.0751368,0.51054,0.154101,0.593813,0.000118008,0.028719,0.29757,0.269868,4.52146e-06
globular,shape,5.70085e-06,0.403681,1.79082e-10,2.74823e-05,1.18557e-08,4.10083e-07,2.81157e-06,8.10327e-06,1.64296e-08,2.36536e-05,0.481487,1.08649e-10,0.127783,5.31536e-08,0.00170054,5.9951e-07,0.379027,3.57455e-06
globular,object,2.89694e-06,0.403623,2.44728e-10,6.41229e-06,1.89062e-08,5.95061e-07,3.99457e-06,9.1803e-06,2.28406e-08,2.422e-05,0.487016,2.26096e-10,0.142778,5.59734e-08,0.00209204,1.00338e-06,0.392157,2.89108e-06
golden,rgb,0.094783,0.0381683,0.0161815,0.0448821,0.0249264,0.0575505,0.00343255,0.0236184,0.0199602,0.0200658,0.110457,0.0565755,0.0797745,0.0345029,0.0698517,0.0240016,0.0896292,0.00525804
golden,shape,1.82393e-06,0.324883,6.52951e-09,1.38971e-05,3.01031e-09,2.94611e-05,1.52103e-05,1.58134e-06,1.0428e-06,0.000164048,0.256369,0.000219822,0.703765,3.42053e-05,0.00606789,6.71335e-07,0.312655,4.60574e-06
golden,object,1.67537e-06,0.306552,5.03446e-09,5.34062e-06,2.82597e-09,3.57013e-05,9.36777e-06,1.79996e-06,1.29885e-06,0.000152093,0.304784,0.000483029,0.77157,3.13978e-05,0.00722854,1.00012e-06,0.341828,3.18655e-06
green,rgb,1.76641e-07,0.950479,0.672069,0.000951583,0.385905,0.000496239,0.989618,0.990608,0.99853,0.918724,0.624325,0.998103,0.63591,0.00815541,0.357289,0.999821,0.0577615,0.97202
green,shape,0.0369664,0.480923,0.321261,0.686947,0.0350084,0.727433,0.605578,0.991328,0.346585,0.178411,0.0066837,0.656474,0.171586,0.0280236,0.101329,0.0567142,4.83307e-06,0.553922
green,object,2.24908e-06,0.610453,0.398493,0.0799241,0.0646231,0.210516,0.597049,0.99993,0.382567,0.233309,0.0301487,0.949779,0.472905,0.00033892,0.0380049,0.951716,8.19198e-06,0.53939
half,rgb,0.944873,0.958022,0.962285,0.990361,0.986302,0.930056,0.973472,0.949758,0.962724,0.948365,0.959716,0.970451,0.950761,0.966454,0.965343,0.957969,0.950032,0.970621
half,shape,0.873733,0.704891,0.000717321,0.142861,0.200087,0.00747319,0.328733,0.145096,1.71822e-05,0.00072945,1.02933e-08,1.14481e-13,2.50966e-10,3.60096e-05,2.27674e-05,0.724548,1.95173e-05,0.185655
half,object,0.769767,0.622364,0.000510925,0.14125,0.200209,0.00122972,0.482723,0.129506,1.04093e-05,0.0047949,1.27982e-08,5.03288e-15,2.19923e-11,2.02579e-05,0.000134691,0.643605,2.78725e-06,0.227425
